contestId, Problem_name, type, rating, tags, level
1154,Minimum Possible LCM,PROGRAMMING,2400,['brute force'/ 'greedy'/ 'math'/ 'number theory'],G
1154,Shovels Shop,PROGRAMMING,2300,['dp'/ 'greedy'],F
1154,Two Teams,PROGRAMMING,1800,['data structures'/ 'implementation'/ 'sortings'],E
1154,Walking Robot,PROGRAMMING,1400,['greedy'],D
1154,Gourmet Cat,PROGRAMMING,1400,['implementation'/ 'math'],C
1154,Make Them Equal,PROGRAMMING,1200,['math'],B
1154,Restoring Three Numbers,PROGRAMMING,600,['math'],A
1153,Serval and Bonus Problem,PROGRAMMING,2800,['combinatorics'/ 'dp'/ 'math'/ 'probabilities'],F
1153,Serval and Snake,PROGRAMMING,2100,['binary search'/ 'brute force'],E
1153,Serval and Rooted Tree,PROGRAMMING,1800,['binary search'/ 'dfs and similar'/ 'dp'/ 'greedy'/ 'trees'],D
1153,Serval and Parenthesis Sequence,PROGRAMMING,1600,['greedy'/ 'strings'],C
1153,Serval and Toy Bricks,PROGRAMMING,1200,['constructive algorithms'/ 'greedy'],B
1153,Serval and Bus,PROGRAMMING,1100,['brute force'/ 'math'],A
1151,Sonya and Informatics,PROGRAMMING,2500,['combinatorics'/ 'dp'/ 'matrices'/ 'probabilities'],F
1151,Number of Components,PROGRAMMING,2100,['combinatorics'/ 'dp'/ 'math'],E
1151,Stas and the Queue at the Buffet,PROGRAMMING,1500,['greedy'/ 'math'/ 'sortings'],D
1151,Problem for Nazar,PROGRAMMING,1700,['constructive algorithms'/ 'math'],C
1151,Dima and a Bad XOR,PROGRAMMING,1600,['bitmasks'/ 'brute force'/ 'constructive algorithms'/ 'dp'],B
1151,Maxim and Biology,PROGRAMMING,1000,['brute force'/ 'strings'],A
1146,Satanic Panic,PROGRAMMING,2800,['dp'/ 'geometry'],H
1146,Zoning Restrictions,PROGRAMMING,2600,['dp'/ 'flows'/ 'graphs'],G
1146,Leaf Partition,PROGRAMMING,2400,['dp'/ 'trees'],F
1146,Hot is Cold,PROGRAMMING,2400,['data structures'/ 'divide and conquer'],E
1146,Frog Jumping,PROGRAMMING,2100,['dfs and similar'/ 'math'],D
1146,Tree Diameter,PROGRAMMING,1700,['bitmasks'/ 'graphs'],C
1146,Hate "A",PROGRAMMING,1100,['implementation'/ 'strings'],B
1146,Love "A",PROGRAMMING,600,['implementation'/ 'strings'],A
1145,AI Takeover,PROGRAMMING,NaN,[],G
1145,Neat Words,PROGRAMMING,NaN,[],F
1145,Fourier Doodles,PROGRAMMING,NaN,[],E
1145,Pigeon d'Or,PROGRAMMING,NaN,['implementation'],D
1145,Mystery Circuit,PROGRAMMING,NaN,['bitmasks'/ 'brute force'],C
1145,Kanban Numbers,PROGRAMMING,NaN,['brute force'],B
1145,Thanos Sort,PROGRAMMING,NaN,['implementation'],A
1144,Two Merged Sequences,PROGRAMMING,2600,['dp'/ 'greedy'],G
1144,Graph Without Long Directed Paths,PROGRAMMING,1700,['dfs and similar'/ 'graphs'],F
1144,Median String,PROGRAMMING,1900,['bitmasks'/ 'math'/ 'number theory'/ 'strings'],E
1144,Equalize Them All,PROGRAMMING,1400,['constructive algorithms'/ 'greedy'],D
1144,Two Shuffled Sequences,PROGRAMMING,1100,['constructive algorithms'/ 'sortings'],C
1144,Parity Alternated Deletions,PROGRAMMING,1000,['greedy'/ 'sortings'],B
1144,Diverse Strings,PROGRAMMING,900,['implementation'/ 'strings'],A
1143,Queen,PROGRAMMING,1400,['dfs and similar'],C
1143,Nirvana,PROGRAMMING,1300,['brute force'/ 'math'/ 'number theory'],B
1143,The Doors,PROGRAMMING,700,['implementation'],A
1142,Pink Floyd,PROGRAMMING,3100,['graphs'],E
1142,Foreigner,PROGRAMMING,2700,['dp'],D
1142,U2,PROGRAMMING,2800,['geometry'],C
1142,Lynyrd Skynyrd,PROGRAMMING,2300,['data structures'/ 'dfs and similar'/ 'dp'/ 'trees'],B
1142,The Beatles,PROGRAMMING,1800,['brute force'/ 'math'],A
1141,Privatization of Roads in Treeland,PROGRAMMING,2500,['binary search'/ 'constructive algorithms'/ 'dfs and similar'/ 'graphs'/ 'greedy'/ 'trees'],G
1141,Same Sum Blocks (Hard),PROGRAMMING,2200,['data structures'/ 'greedy'],F2
1141,Same Sum Blocks (Easy),PROGRAMMING,2000,['greedy'],F1
1141,Superhero Battle,PROGRAMMING,1700,['math'],E
1141,Colored Boots,PROGRAMMING,1500,['greedy'/ 'implementation'],D
1141,Polycarp Restores Permutation,PROGRAMMING,1400,['math'],C
1141,Maximal Continuous Rest,PROGRAMMING,1000,['implementation'],B
1141,Game 23,PROGRAMMING,1000,['implementation'/ 'math'],A
1140,Double Tree,PROGRAMMING,2900,['data structures'/ 'divide and conquer'/ 'shortest paths'/ 'trees'],G
1140,Extending Set of Points,PROGRAMMING,2700,['data structures'/ 'divide and conquer'/ 'dsu'],F
1140,Palindrome-less Arrays,PROGRAMMING,2200,['combinatorics'/ 'dp'],E
1140,Minimum Triangulation,PROGRAMMING,1200,['dp'/ 'greedy'/ 'math'],D
1140,Playlist,PROGRAMMING,1600,['brute force'/ 'data structures'/ 'sortings'],C
1140,Good String,PROGRAMMING,1200,['implementation'/ 'strings'],B
1140,Detective Book,PROGRAMMING,1000,['implementation'],A
1139,Dish Shopping,PROGRAMMING,2800,['data structures'/ 'divide and conquer'],F
1139,Maximize Mex,PROGRAMMING,2400,['flows'/ 'graph matchings'/ 'graphs'],E
1139,Steps to One,PROGRAMMING,2300,['dp'/ 'math'/ 'number theory'/ 'probabilities'],D
1139,Edgy Trees,PROGRAMMING,1500,['dfs and similar'/ 'dsu'/ 'graphs'/ 'math'/ 'trees'],C
1139,Chocolates,PROGRAMMING,1100,['greedy'/ 'implementation'],B
1139,Even Substrings,PROGRAMMING,700,['implementation'/ 'strings'],A
1138,Circus,PROGRAMMING,1700,['brute force'/ 'greedy'/ 'math'/ 'strings'],B
1138,Sushi for Two,PROGRAMMING,900,['binary search'/ 'greedy'/ 'implementation'],A
1137,Matches Are Not a Child's Play ,PROGRAMMING,3300,['data structures'/ 'trees'],F
1137,Train Car Selection,PROGRAMMING,2800,['data structures'/ 'greedy'],E
