contestId, solvedCount
1154,828
1154,934
1154,1956
1154,4210
1154,4461
1154,6487
1154,9173
1153,224
1153,797
1153,1927
1153,3626
1153,5442
1153,6373
1151,278
1151,896
1151,3349
1151,2136
1151,3077
1151,5628
1146,45
1146,88
1146,158
1146,200
1146,431
1146,1315
1146,2626
1146,3287
1145,39
1145,227
1145,117
1145,645
1145,390
1145,624
1145,3704
1144,625
1144,2915
1144,1933
1144,4550
1144,6775
1144,7821
1144,8897
1143,3825
1143,4951
1143,7220
1142,61
1142,134
1142,443
1142,980
1142,1938
1141,947
1141,1840
1141,1876
1141,3306
1141,4390
1141,5582
1141,9649
1141,10184
1140,103
1140,226
1140,955
1140,5961
1140,4072
1140,6124
1140,7572
1139,133
1139,570
1139,649
1139,4351
1139,7228
1139,8476
1138,2011
1138,5911
1137,103
1137,192
1137,500
1137,470
1137,2231
1137,2578
1136,578
1136,2150
1136,4569
1136,7090
1136,8835
1133,1078
1133,2841
1133,1666
1133,4035
1133,5832
1133,5669
1133,7824
1132,286
1132,2048
1132,505
1132,817
1132,2819
1132,6381
1132,5797
1131,180
1131,3001
1131,698
1131,1654
1131,6173
1131,5388
1131,7664
1130,4101
1130,5077
1130,6864
1129,123
1129,215
1129,430
1129,1225
1129,2473
1129,2568
1121,1216
1121,4044
1121,4742
1120,45
1120,27
1120,261
1120,872
1120,167
1120,879
1119,75
1119,110
1119,104
1119,2363
1119,2728
1119,4122
1119,5027
1119,6204
1118,151
1118,2212
1118,1935
1118,2559
1118,2616
1118,3005
1118,6150
1118,9671
1117,181
1117,188
1117,743
1117,1551
1117,2363
1117,6589
1117,6724
1116,56
1116,114
1116,135
1116,161
1116,185
1116,218
1116,140
1116,144
1116,208
1116,31
1116,90
1116,122
1116,211
1115,133
1115,149
1115,167
1115,144
1115,200
1115,239
1114,715
1114,1536
1114,2681
1114,4370
1114,5327
1114,10652
1113,4773
1113,7195
1111,267
1111,463
1111,3431
1111,3760
1111,8982
1110,79
1110,182
1110,762
1110,2000
1110,1771
1110,4877
1110,6070
1110,8624
1109,64
1109,190
1109,586
1109,122
1109,2443
1109,3850
1108,1050
1108,1044
1108,2368
1108,6256
1108,6358
1108,9433
1108,11583
1107,461
1107,258
1107,756
1107,2248
1107,5502
1107,6983
1107,7319
1106,405
1106,1230
1106,5101
1106,8177
1106,4576
1106,8817
1105,831
1105,2227
1105,4545
1105,6308
1105,6929
1104,6821
1104,9087
1103,50
1103,146
1103,344
1103,1908
1103,5823
1102,771
1102,2475
1102,3893
1102,6453
1102,5061
1102,10099
1101,494
1101,499
1101,4841
1101,1703
1101,4167
1101,6143
1101,8735
1100,388
1100,1169
1100,501
1100,5831
1100,6008
1100,6973
1099,422
1099,5120
1099,6326
1099,7748
1098,27
1098,56
1098,241
1098,442
1098,831
1098,3910
1097,38
1097,162
1097,590
1097,188
1097,1482
1097,5333
1097,7929
1097,11632
1096,498
1096,727
1096,252
1096,2832
1096,4033
1096,5568
1096,9253
1095,1813
1095,1716
1095,3717
1095,5416
1095,8712
1095,10671
1093,814
1093,337
1093,581
1093,3159
1093,5655
1093,7156
1093,8521
1092,1546
1092,595
1092,1167
1092,1483
1092,2920
